label,correct values
director,A Place in Time | By the Sea | First They Killed My Father | In the Land of Blood and Honey | Unbroken | Without Blood
child | children,Jon Voight | Knox Jolie-Pitt | Maddox Jolie-Pitt | Marcheline Bertrand | Pax Jolie-Pitt | Shiloh Jolie-Pitt | Vivienne Jolie-Pitt | Zahara Jolie-Pitt
father | mother,Jon Voight | Marcheline Bertrand | Marcheline_Bertrand
relative | relatives,Barry Voight | Chip Taylor | James Haven | Maddox Jolie-Pitt | Pax Jolie-Pitt | Zahara Jolie-Pitt
spouse,Billy Bob Thornton | Brad Pitt | Jonny Lee Miller | None | div.
birthPlace | place of birth,California | Los Angeles | U.S.
field of work | occupation,Actress | film actor | film director | film producer | filmmaker | humanitarian | model | philanthropist | screenwriter | voice actor
activeYearsStartYear | work period (start) | yearsActive,1982
family name | given name | married name | name,Angelina Jolie | Jolie | Voight
birthDate | birthYear | date of birth,1975-06-04
birthName | birth name,Angelina Jolie Voight
citizenship | country of citizenship,Cambodia | United States of America
